EVENT,BOUT,FIGHTER,KD,SIG.STR._L,SIG.STR._A,TOTAL STR._L,TOTAL STR._A,TD_L,TD_A,SUB.ATT,REV.,CTRL_sec,BOUT_N,FIGHTER_N,EVENT_N,RESULT,WEIGHTCLASS,METHOD,ROUND_END,TIME_END,TIME FORMAT,REFEREE,DETAILS,URL,GLOVE_WINDOW
UFC Fight Night: Sandhagen vs. Nurmagomedov,Mohammad Yahya vs. Kaue Fernandes,Mohammad Yahya,0,4,18,4,18,0,0,0,0,0,Mohammad Yahya vs. Kaue Fernandes,Mohammad Yahya,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Lightweight Bout,KO/TKO ,1,4:45,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/1cd63899011c4bf6,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shamil Gaziev vs. Don'Tale Mayes,Don'Tale Mayes,0,27,58,57,95,0,2,0,0,0,Shamil Gaziev vs. Don'Tale Mayes,Don'Tale Mayes,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Howard Hughes 27 - 30.David Lethaby 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/637f792270a0c746,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shamil Gaziev vs. Don'Tale Mayes,Shamil Gaziev,0,31,46,89,114,2,3,0,0,718,Shamil Gaziev vs. Don'Tale Mayes,Shamil Gaziev,UFC Fight Night: Sandhagen vs. Nurmagomedov,W,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Howard Hughes 27 - 30.David Lethaby 27 - 30.Darryl Ransom 27 - 30.,http://ufcstats.com/fight-details/637f792270a0c746,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Guram Kutateladze vs. Jordan Vucenic,Guram Kutateladze,0,30,68,87,152,1,4,0,0,245,Guram Kutateladze vs. Jordan Vucenic,Guram Kutateladze,UFC Fight Night: Sandhagen vs. Nurmagomedov,W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Ben Cartlidge 28 - 29.Vito Paolillo 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/77df662671ce11c5,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Guram Kutateladze vs. Jordan Vucenic,Jordan Vucenic,1,34,85,81,139,0,5,0,0,272,Guram Kutateladze vs. Jordan Vucenic,Jordan Vucenic,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Ben Cartlidge 28 - 29.Vito Paolillo 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/77df662671ce11c5,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Viktoriia Dudakova vs. Sam Hughes,Sam Hughes,0,97,193,139,240,0,0,0,0,134,Viktoriia Dudakova vs. Sam Hughes,Sam Hughes,UFC Fight Night: Sandhagen vs. Nurmagomedov,W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby 28 - 29.Howard Hughes 30 - 27.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/f80143e1f3c3d319,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Viktoriia Dudakova vs. Sam Hughes,Viktoriia Dudakova,0,61,144,104,199,3,10,0,0,278,Viktoriia Dudakova vs. Sam Hughes,Viktoriia Dudakova,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby 28 - 29.Howard Hughes 30 - 27.Darryl Ransom 28 - 29.,http://ufcstats.com/fight-details/f80143e1f3c3d319,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Jai Herbert vs. Rolando Bedoya,Jai Herbert,1,82,178,89,185,2,3,0,0,33,Jai Herbert vs. Rolando Bedoya,Jai Herbert,UFC Fight Night: Sandhagen vs. Nurmagomedov,W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell 27 - 30.Hadi Mohamed Ali 27 - 30.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/d038ff5ac21094f3,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Jai Herbert vs. Rolando Bedoya,Rolando Bedoya,0,67,199,71,206,0,1,0,0,71,Jai Herbert vs. Rolando Bedoya,Rolando Bedoya,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell 27 - 30.Hadi Mohamed Ali 27 - 30.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/d038ff5ac21094f3,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sedriques Dumas vs. Denis Tiuliulin,Denis Tiuliulin,0,26,70,183,246,3,5,0,0,147,Sedriques Dumas vs. Denis Tiuliulin,Denis Tiuliulin,UFC Fight Night: Sandhagen vs. Nurmagomedov,L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Clemens Werner 28 - 29.Vito Paolillo 27 - 30.,http://ufcstats.com/fight-details/e6851877e33d343f,2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sedriques Dumas vs. Denis Tiuliulin,Sedriques Dumas,0,49,88,95,140,3,10,0,0,360,Sedriques Dumas vs. Denis Tiuliulin,Sedriques Dumas,UFC Fight Night: Sandhagen vs. Nurmagomedov,W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Ben Cartlidge 28 - 29.Clemens Werner 28 - 29.Vito Paolillo 27 - 30.,http://ufcstats.com/fight-details/e6851877e33d343f,2
UFC 304: Edwards vs. Muhammad 2,Leon Edwards vs. Belal Muhammad,Belal Muhammad,0,68,121,192,281,9,13,0,0,722,Leon Edwards vs. Belal Muhammad,Belal Muhammad,UFC 304: Edwards vs. Muhammad 2,W,UFC Welterweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Ben Cartlidge 47 - 48.Derek Cleary 47 - 48.Clemens Werner 46 - 49.,http://ufcstats.com/fight-details/ec5163539a133f17,2
UFC 304: Edwards vs. Muhammad 2,Leon Edwards vs. Belal Muhammad,Leon Edwards,0,47,71,89,114,2,2,0,2,431,Leon Edwards vs. Belal Muhammad,Leon Edwards,UFC 304: Edwards vs. Muhammad 2,L,UFC Welterweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Ben Cartlidge 47 - 48.Derek Cleary 47 - 48.Clemens Werner 46 - 49.,http://ufcstats.com/fight-details/ec5163539a133f17,2
UFC 304: Edwards vs. Muhammad 2,Tom Aspinall vs. Curtis Blaydes,Curtis Blaydes,0,5,11,5,12,0,0,0,0,0,Tom Aspinall vs. Curtis Blaydes,Curtis Blaydes,UFC 304: Edwards vs. Muhammad 2,L,UFC Interim Heavyweight Title Bout,KO/TKO ,1,1:00,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/ec434314c5438fc7,2
UFC 304: Edwards vs. Muhammad 2,Tom Aspinall vs. Curtis Blaydes,Tom Aspinall,1,14,19,14,19,0,0,0,0,13,Tom Aspinall vs. Curtis Blaydes,Tom Aspinall,UFC 304: Edwards vs. Muhammad 2,W,UFC Interim Heavyweight Title Bout,KO/TKO ,1,1:00,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/ec434314c5438fc7,2
UFC 304: Edwards vs. Muhammad 2,King Green vs. Paddy Pimblett,King Green,0,15,21,15,21,1,1,0,0,34,King Green vs. Paddy Pimblett,King Green,UFC 304: Edwards vs. Muhammad 2,L,Lightweight Bout,Submission ,1,3:22,3 Rnd (5-5-5),Lukasz Bosacki,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/3e2bde19e752f64b,2
UFC 304: Edwards vs. Muhammad 2,King Green vs. Paddy Pimblett,Paddy Pimblett,0,8,13,10,16,0,0,2,0,0,King Green vs. Paddy Pimblett,Paddy Pimblett,UFC 304: Edwards vs. Muhammad 2,W,Lightweight Bout,Submission ,1,3:22,3 Rnd (5-5-5),Lukasz Bosacki,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/3e2bde19e752f64b,2
UFC 304: Edwards vs. Muhammad 2,Christian Leroy Duncan vs. Gregory Rodrigues,Christian Leroy Duncan,0,29,48,53,77,0,0,0,0,105,Christian Leroy Duncan vs. Gregory Rodrigues,Christian Leroy Duncan,UFC 304: Edwards vs. Muhammad 2,L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 27 - 30.David Lethaby 27 - 30.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/f02fed4e98048471,2
UFC 304: Edwards vs. Muhammad 2,Christian Leroy Duncan vs. Gregory Rodrigues,Gregory Rodrigues,0,45,79,78,120,4,12,0,0,500,Christian Leroy Duncan vs. Gregory Rodrigues,Gregory Rodrigues,UFC 304: Edwards vs. Muhammad 2,W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Derek Cleary 27 - 30.David Lethaby 27 - 30.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/f02fed4e98048471,2
UFC 304: Edwards vs. Muhammad 2,Arnold Allen vs. Giga Chikadze,Arnold Allen,0,61,122,61,122,0,1,0,0,0,Arnold Allen vs. Giga Chikadze,Arnold Allen,UFC 304: Edwards vs. Muhammad 2,W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.Mark Collett 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/8a2e28da18ba6a25,2
UFC 304: Edwards vs. Muhammad 2,Arnold Allen vs. Giga Chikadze,Giga Chikadze,0,38,111,39,112,0,0,0,0,0,Arnold Allen vs. Giga Chikadze,Giga Chikadze,UFC 304: Edwards vs. Muhammad 2,L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.Mark Collett 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/8a2e28da18ba6a25,2
UFC 304: Edwards vs. Muhammad 2,Nathaniel Wood vs. Daniel Pineda,Daniel Pineda,0,32,69,80,125,1,6,0,2,332,Nathaniel Wood vs. Daniel Pineda,Daniel Pineda,UFC 304: Edwards vs. Muhammad 2,L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,David Lethaby 27 - 29.Darryl Ransom 27 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/45e6a9b56ee3a9d1,2
UFC 304: Edwards vs. Muhammad 2,Nathaniel Wood vs. Daniel Pineda,Nathaniel Wood,1,66,93,81,110,0,0,1,1,222,Nathaniel Wood vs. Daniel Pineda,Nathaniel Wood,UFC 304: Edwards vs. Muhammad 2,W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,David Lethaby 27 - 29.Darryl Ransom 27 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/45e6a9b56ee3a9d1,2
UFC 304: Edwards vs. Muhammad 2,Molly McCann vs. Bruna Brasil,Bruna Brasil,0,44,74,63,99,3,3,0,1,335,Molly McCann vs. Bruna Brasil,Bruna Brasil,UFC 304: Edwards vs. Muhammad 2,W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 27 - 30.Clemens Werner 27 - 30.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/678eda89a096dde8,2
UFC 304: Edwards vs. Muhammad 2,Molly McCann vs. Bruna Brasil,Molly McCann,0,32,56,57,84,2,7,0,0,211,Molly McCann vs. Bruna Brasil,Molly McCann,UFC 304: Edwards vs. Muhammad 2,L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge 27 - 30.Clemens Werner 27 - 30.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/678eda89a096dde8,2
UFC 304: Edwards vs. Muhammad 2,Jake Hadley vs. Caolan Loughran,Caolan Loughran,0,66,181,68,188,1,8,0,0,107,Jake Hadley vs. Caolan Loughran,Caolan Loughran,UFC 304: Edwards vs. Muhammad 2,L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Collett 27 - 30.David Lethaby 27 - 30.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/9d8c32c60df0e287,2
UFC 304: Edwards vs. Muhammad 2,Jake Hadley vs. Caolan Loughran,Jake Hadley,0,81,154,107,181,0,1,0,0,7,Jake Hadley vs. Caolan Loughran,Jake Hadley,UFC 304: Edwards vs. Muhammad 2,W,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mark Collett 27 - 30.David Lethaby 27 - 30.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/9d8c32c60df0e287,2
UFC 304: Edwards vs. Muhammad 2,Muhammad Mokaev vs. Manel Kape,Manel Kape,0,20,48,34,67,0,1,0,0,4,Muhammad Mokaev vs. Manel Kape,Manel Kape,UFC 304: Edwards vs. Muhammad 2,L,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 28 - 29.Darryl Ransom 28 - 29.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/d6e240c47ba6034d,2
UFC 304: Edwards vs. Muhammad 2,Muhammad Mokaev vs. Manel Kape,Muhammad Mokaev,0,30,82,47,102,3,8,0,0,131,Muhammad Mokaev vs. Manel Kape,Muhammad Mokaev,UFC 304: Edwards vs. Muhammad 2,W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Derek Cleary 28 - 29.Darryl Ransom 28 - 29.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/d6e240c47ba6034d,2
UFC 304: Edwards vs. Muhammad 2,Oban Elliott vs. Preston Parsons,Oban Elliott,0,44,125,49,142,1,2,0,0,296,Oban Elliott vs. Preston Parsons,Oban Elliott,UFC 304: Edwards vs. Muhammad 2,W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett 28 - 29.Derek Cleary 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/16b0a16ab2e20fdb,2
UFC 304: Edwards vs. Muhammad 2,Oban Elliott vs. Preston Parsons,Preston Parsons,0,36,93,71,133,1,9,0,0,118,Oban Elliott vs. Preston Parsons,Preston Parsons,UFC 304: Edwards vs. Muhammad 2,L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mark Collett 28 - 29.Derek Cleary 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/16b0a16ab2e20fdb,2
UFC 304: Edwards vs. Muhammad 2,Modestas Bukauskas vs. Marcin Prachnio,Marcin Prachnio,0,70,139,120,200,0,0,0,0,9,Modestas Bukauskas vs. Marcin Prachnio,Marcin Prachnio,UFC 304: Edwards vs. Muhammad 2,L,Light Heavyweight Bout,Submission ,3,3:12,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/026bb9fd1b3f239d,2
UFC 304: Edwards vs. Muhammad 2,Modestas Bukauskas vs. Marcin Prachnio,Modestas Bukauskas,0,38,76,56,101,2,2,1,0,331,Modestas Bukauskas vs. Marcin Prachnio,Modestas Bukauskas,UFC 304: Edwards vs. Muhammad 2,W,Light Heavyweight Bout,Submission ,3,3:12,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/026bb9fd1b3f239d,2
UFC 304: Edwards vs. Muhammad 2,Sam Patterson vs. Kiefer Crosbie,Kiefer Crosbie,0,9,16,10,17,0,0,0,0,15,Sam Patterson vs. Kiefer Crosbie,Kiefer Crosbie,UFC 304: Edwards vs. Muhammad 2,L,Welterweight Bout,Submission ,1,2:50,3 Rnd (5-5-5),Lukasz Bosacki,Arm Triangle From Mount ,http://ufcstats.com/fight-details/3183dfe66fcdd25f,2
UFC 304: Edwards vs. Muhammad 2,Sam Patterson vs. Kiefer Crosbie,Sam Patterson,0,9,26,13,31,1,1,1,0,56,Sam Patterson vs. Kiefer Crosbie,Sam Patterson,UFC 304: Edwards vs. Muhammad 2,W,Welterweight Bout,Submission ,1,2:50,3 Rnd (5-5-5),Lukasz Bosacki,Arm Triangle From Mount ,http://ufcstats.com/fight-details/3183dfe66fcdd25f,2
UFC 304: Edwards vs. Muhammad 2,Mick Parkin vs. Lukasz Brzeski,Lukasz Brzeski,0,24,42,26,44,0,0,0,0,0,Mick Parkin vs. Lukasz Brzeski,Lukasz Brzeski,UFC 304: Edwards vs. Muhammad 2,L,Heavyweight Bout,KO/TKO ,1,3:23,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/a5558e8fec59a687,2
UFC 304: Edwards vs. Muhammad 2,Mick Parkin vs. Lukasz Brzeski,Mick Parkin,1,34,52,34,52,0,0,0,0,2,Mick Parkin vs. Lukasz Brzeski,Mick Parkin,UFC 304: Edwards vs. Muhammad 2,W,Heavyweight Bout,KO/TKO ,1,3:23,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/a5558e8fec59a687,2
UFC 304: Edwards vs. Muhammad 2,Shauna Bannon vs. Alice Ardelean,Alice Ardelean,0,57,105,80,139,2,4,0,0,354,Shauna Bannon vs. Alice Ardelean,Alice Ardelean,UFC 304: Edwards vs. Muhammad 2,L,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Collett 27 - 30.Darryl Ransom 29 - 28.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/dff2ef8fdde8c502,2
UFC 304: Edwards vs. Muhammad 2,Shauna Bannon vs. Alice Ardelean,Shauna Bannon,0,77,169,151,252,0,2,0,0,10,Shauna Bannon vs. Alice Ardelean,Shauna Bannon,UFC 304: Edwards vs. Muhammad 2,W,Women's Strawweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Collett 27 - 30.Darryl Ransom 29 - 28.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/dff2ef8fdde8c502,2
UFC Fight Night: Lemos vs. Jandiroba,Amanda Lemos vs. Virna Jandiroba,Amanda Lemos,0,2,9,5,12,0,0,1,1,51,Amanda Lemos vs. Virna Jandiroba,Amanda Lemos,UFC Fight Night: Lemos vs. Jandiroba,L,Women's Strawweight Bout,Submission ,2,4:48,5 Rnd (5-5-5-5-5),Mark Smith,Armbar From Back Control ,http://ufcstats.com/fight-details/4a00db8aeff200a2,2
UFC Fight Night: Lemos vs. Jandiroba,Amanda Lemos vs. Virna Jandiroba,Virna Jandiroba,0,2,8,20,27,1,5,4,1,387,Amanda Lemos vs. Virna Jandiroba,Virna Jandiroba,UFC Fight Night: Lemos vs. Jandiroba,W,Women's Strawweight Bout,Submission ,2,4:48,5 Rnd (5-5-5-5-5),Mark Smith,Armbar From Back Control ,http://ufcstats.com/fight-details/4a00db8aeff200a2,2
UFC Fight Night: Lemos vs. Jandiroba,Steve Garcia vs. SeungWoo Choi,SeungWoo Choi,0,9,15,9,16,0,0,0,0,0,Steve Garcia vs. SeungWoo Choi,SeungWoo Choi,UFC Fight Night: Lemos vs. Jandiroba,L,Featherweight Bout,KO/TKO ,1,1:36,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/120ec60ad18cf6c5,2
UFC Fight Night: Lemos vs. Jandiroba,Steve Garcia vs. SeungWoo Choi,Steve Garcia,1,15,27,18,34,0,1,0,0,37,Steve Garcia vs. SeungWoo Choi,Steve Garcia,UFC Fight Night: Lemos vs. Jandiroba,W,Featherweight Bout,KO/TKO ,1,1:36,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/120ec60ad18cf6c5,2
UFC Fight Night: Lemos vs. Jandiroba,Kurt Holobaugh vs. Kaynan Kruschewsky,Kaynan Kruschewsky,0,89,156,115,195,3,3,2,0,167,Kurt Holobaugh vs. Kaynan Kruschewsky,Kaynan Kruschewsky,UFC Fight Night: Lemos vs. Jandiroba,L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 28 - 29.Sal D'amato 28 - 29.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/9eaa33f874bbb999,2
UFC Fight Night: Lemos vs. Jandiroba,Kurt Holobaugh vs. Kaynan Kruschewsky,Kurt Holobaugh,0,92,171,171,275,1,4,0,1,321,Kurt Holobaugh vs. Kaynan Kruschewsky,Kurt Holobaugh,UFC Fight Night: Lemos vs. Jandiroba,W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Adalaide Byrd 28 - 29.Sal D'amato 28 - 29.Anthony Maness 28 - 29.,http://ufcstats.com/fight-details/9eaa33f874bbb999,2
UFC Fight Night: Lemos vs. Jandiroba,Cody Durden vs. Bruno Silva,Bruno Silva,1,42,73,45,77,0,2,0,0,23,Cody Durden vs. Bruno Silva,Bruno Silva,UFC Fight Night: Lemos vs. Jandiroba,W,Flyweight Bout,KO/TKO ,2,2:58,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Guard ,http://ufcstats.com/fight-details/94541dd979e0b4bd,2
UFC Fight Night: Lemos vs. Jandiroba,Cody Durden vs. Bruno Silva,Cody Durden,0,28,63,31,68,1,1,3,0,155,Cody Durden vs. Bruno Silva,Cody Durden,UFC Fight Night: Lemos vs. Jandiroba,L,Flyweight Bout,KO/TKO ,2,2:58,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Guard ,http://ufcstats.com/fight-details/94541dd979e0b4bd,2
UFC Fight Night: Lemos vs. Jandiroba,Dooho Choi vs. Bill Algeo,Bill Algeo,0,17,49,38,74,2,3,0,1,189,Dooho Choi vs. Bill Algeo,Bill Algeo,UFC Fight Night: Lemos vs. Jandiroba,L,Featherweight Bout,KO/TKO ,2,3:38,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/ec8bc554a0646638,2
UFC Fight Night: Lemos vs. Jandiroba,Dooho Choi vs. Bill Algeo,Dooho Choi,0,21,35,32,47,2,3,3,0,93,Dooho Choi vs. Bill Algeo,Dooho Choi,UFC Fight Night: Lemos vs. Jandiroba,W,Featherweight Bout,KO/TKO ,2,3:38,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/ec8bc554a0646638,2
UFC Fight Night: Lemos vs. Jandiroba,JeongYeong Lee vs. Hyder Amil,Hyder Amil,0,42,63,42,63,0,0,0,0,0,JeongYeong Lee vs. Hyder Amil,Hyder Amil,UFC Fight Night: Lemos vs. Jandiroba,W,Featherweight Bout,KO/TKO ,1,1:05,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/6e6567a98ea78891,2
UFC Fight Night: Lemos vs. Jandiroba,JeongYeong Lee vs. Hyder Amil,JeongYeong Lee,0,4,10,4,10,0,0,0,0,4,JeongYeong Lee vs. Hyder Amil,JeongYeong Lee,UFC Fight Night: Lemos vs. Jandiroba,L,Featherweight Bout,KO/TKO ,1,1:05,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance ,http://ufcstats.com/fight-details/6e6567a98ea78891,2
UFC Fight Night: Lemos vs. Jandiroba,Brian Kelleher vs. Cody Gibson,Brian Kelleher,0,2,12,2,13,0,0,0,0,5,Brian Kelleher vs. Cody Gibson,Brian Kelleher,UFC Fight Night: Lemos vs. Jandiroba,L,Bantamweight Bout,Submission ,1,3:58,3 Rnd (5-5-5),Kerry Hatley,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/40c18c6d64463809,2
UFC Fight Night: Lemos vs. Jandiroba,Brian Kelleher vs. Cody Gibson,Cody Gibson,0,13,24,18,30,2,5,1,0,158,Brian Kelleher vs. Cody Gibson,Cody Gibson,UFC Fight Night: Lemos vs. Jandiroba,W,Bantamweight Bout,Submission ,1,3:58,3 Rnd (5-5-5),Kerry Hatley,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/40c18c6d64463809,2
UFC Fight Night: Lemos vs. Jandiroba,Miranda Maverick vs. Dione Barbosa,Dione Barbosa,0,21,52,47,85,1,2,1,0,49,Miranda Maverick vs. Dione Barbosa,Dione Barbosa,UFC Fight Night: Lemos vs. Jandiroba,L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Eric Colon 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/e655774643881e6c,2
UFC Fight Night: Lemos vs. Jandiroba,Miranda Maverick vs. Dione Barbosa,Miranda Maverick,0,30,88,102,188,2,5,0,0,487,Miranda Maverick vs. Dione Barbosa,Miranda Maverick,UFC Fight Night: Lemos vs. Jandiroba,W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29.Eric Colon 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/e655774643881e6c,2
UFC Fight Night: Lemos vs. Jandiroba,Loik Radzhabov vs. Trey Ogden,Loik Radzhabov,0,42,86,97,157,0,0,0,0,96,Loik Radzhabov vs. Trey Ogden,Loik Radzhabov,UFC Fight Night: Lemos vs. Jandiroba,L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.Eric Colon 27 - 30.,http://ufcstats.com/fight-details/b3f1253d0a991791,2
UFC Fight Night: Lemos vs. Jandiroba,Loik Radzhabov vs. Trey Ogden,Trey Ogden,0,24,47,116,148,4,5,2,0,587,Loik Radzhabov vs. Trey Ogden,Trey Ogden,UFC Fight Night: Lemos vs. Jandiroba,W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.Eric Colon 27 - 30.,http://ufcstats.com/fight-details/b3f1253d0a991791,2
UFC Fight Night: Lemos vs. Jandiroba,Luana Carolina vs. Lucie Pudilova,Luana Carolina,0,94,167,114,199,0,1,0,0,41,Luana Carolina vs. Lucie Pudilova,Luana Carolina,UFC Fight Night: Lemos vs. Jandiroba,W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/c3ef9edf73626521,2
